Neighborhood,Adress,Apartment,House,Price,Rooms,Baths,Sq Ft,Sq Ft Lot,Year Built,View,Fire Place,Levels,Attached Garage,Total Parking Space,Pool
Angelino-Heights,3336 Appleton St,0,1,1465000.0,2.0,2.0,970.0,6098.0,1925.0,0,1,1,0,1.0,0
Angelino-Heights,6431 Rugby Ave Unit D,1,0,510000.0,3.0,2.0,1138.0,1138.0,1981.0,1,1,2,1,2.0,0
Angelino-Heights,5415 Ash St,0,1,749000.0,4.0,1.0,1669.0,4356.0,1903.0,0,0,2,0,0.0,0
Angelino-Heights,610 W California Blvd,0,1,1700000.0,3.0,2.0,1709.0,7405.0,1962.0,1,1,1,1,2.0,0
Angelino-Heights,7300 Mulholland Dr,0,1,4250000.0,3.0,3.0,2020.0,58806.00000000001,1950.0,1,1,1,1,2.0,1
Angelino-Heights,4135 2nd Ave,0,1,885000.0,4.0,3.0,1547.0,6098.0,1920.0,0,1,1,0,4.0,0
Angelino-Heights,6522 Colmar Ave,0,1,785000.0,3.0,2.0,1160.0,5663.0,1938.0,0,1,1,0,4.0,0
Angelino-Heights,2407 N Commonwealth Ave,0,1,1822500.0,3.0,3.0,2370.0,6970.0,1936.0,0,1,2,0,2.0,0
Angelino-Heights,3252 Amethyst St,0,1,1025000.0,3.0,2.0,1084.0,6534.0,1909.0,1,1,1,0,4.0,0
Angelino-Heights,10829 Peach Grove St,0,1,1250000.0,2.0,1.0,1208.0,6970.0,1938.0,0,1,1,0,0.0,1
Angelino-Heights,4108 E 1st St,0,1,605000.0,3.0,2.0,1184.0,3049.0,1969.0,0,0,1,1,3.0,0
Angelino-Heights,3518 Glenalbyn Dr,0,1,941250.0,1.0,1.0,722.0,10019.0,1950.0,1,1,1,0,1.0,0
Angelino-Heights,1801 S Crescent Heights Blvd,0,1,1275000.0,3.0,2.0,1544.0,6098.0,1941.0,1,1,1,0,3.0,0
